flight_id,source,destination,airline,departure time,arrival_time,price,duration,duration_minutes
1,Banglore,New Delhi,IndiGo,22:20,01:10 22 Mar,3897,2h 50m,170
2,Kolkata,Banglore,Air India,05:50,13:15,7662,7h 25m,445
3,Delhi,Cochin,Jet Airways,09:25,04:25 10 Jun,13882,19h,1140
4,Kolkata,Banglore,IndiGo,18:05,23:30,6218,5h 25m,325
5,Banglore,New Delhi,IndiGo,16:50,21:35,13302,4h 45m,285
6,Kolkata,Banglore,SpiceJet,09:00,11:25,3873,2h 25m,145
7,Banglore,New Delhi,Jet Airways,18:55,10:25 13 Mar,11087,15h 30m,930
8,Banglore,New Delhi,Jet Airways,08:00,05:05 02 Mar,22270,21h 5m,1265
9,Banglore,New Delhi,Jet Airways,08:55,10:25 13 Mar,11087,25h 30m,1530
10,Delhi,Cochin,Multiple carriers,11:25,19:15,8625,7h 50m,470
11,Delhi,Cochin,Air India,09:45,23:00,8907,13h 15m,795
12,Kolkata,Banglore,IndiGo,20:20,22:55,4174,2h 35m,155
13,Chennai,Kolkata,Air India,11:40,13:55,4667,2h 15m,135
14,Kolkata,Banglore,Jet Airways,21:10,09:20 10 May,9663,12h 10m,730
15,Kolkata,Banglore,IndiGo,17:15,19:50,4804,2h 35m,155
16,Delhi,Cochin,Air India,16:40,19:15 04 Mar,14011,26h 35m,1595
17,Delhi,Cochin,SpiceJet,08:45,13:15,5830,4h 30m,270
18,Delhi,Cochin,Jet Airways,14:00,12:35 13 Jun,10262,22h 35m,1355
19,Delhi,Cochin,Air India,20:15,19:15 13 Jun,13381,23h,1380
20,Delhi,Cochin,Jet Airways,16:00,12:35 28 May,12898,20h 35m,1235
21,Delhi,Cochin,GoAir,14:10,19:20,19495,5h 10m,310
22,Banglore,New Delhi,Air India,22:00,13:20 19 Mar,6955,15h 20m,920
23,Banglore,Delhi,IndiGo,04:00,06:50,3943,2h 50m,170
24,Banglore,Delhi,IndiGo,18:55,21:50,4823,2h 55m,175
25,Kolkata,Banglore,Jet Airways,18:55,08:15 07 May,7757,13h 20m,800
26,Delhi,Cochin,Jet Airways,21:25,12:35 10 Jun,13292,15h 10m,910
27,Delhi,Cochin,IndiGo,21:50,03:35 02 Jun,8238,5h 45m,345
28,Delhi,Cochin,GoAir,07:00,12:55,7682,5h 55m,355
29,Banglore,Delhi,Vistara,09:45,12:35,4668,2h 50m,170
30,Chennai,Kolkata,Vistara,07:05,09:20,3687,2h 15m,135
31,Chennai,Kolkata,Vistara,07:05,09:20,3687,2h 15m,135
32,Kolkata,Banglore,Air India,09:50,23:15,13227,13h 25m,805
33,Banglore,Delhi,IndiGo,04:00,06:50,4423,2h 50m,170
34,Delhi,Cochin,Jet Airways,14:35,12:35 16 Jun,10919,22h,1320
35,Delhi,Cochin,Jet Airways,07:05,12:35,12373,5h 30m,330
36,Delhi,Cochin,IndiGo,10:35,21:00,5894,10h 25m,625
37,Kolkata,Banglore,SpiceJet,15:05,20:20,4649,5h 15m,315
38,Kolkata,Banglore,Air India,14:15,16:45,6245,2h 30m,150
39,Banglore,New Delhi,Jet Airways,07:00,13:15,19225,6h 15m,375
40,Delhi,Cochin,Jet Airways,07:05,19:00,14924,11h 55m,715
41,Delhi,Cochin,Multiple carriers,07:05,18:10,9646,11h 5m,665
42,Banglore,New Delhi,Air India,06:45,15:15,8714,8h 30m,510
43,Delhi,Cochin,Jet Airways,20:55,19:00 19 May,12373,22h 5m,1325
44,Banglore,Delhi,Air Asia,11:10,13:55,3383,2h 45m,165
45,Delhi,Cochin,Multiple carriers,09:00,21:00,13062,12h,720
46,Banglore,New Delhi,SpiceJet,05:45,08:35,3527,2h 50m,170
47,Banglore,Delhi,IndiGo,04:00,06:50,3943,2h 50m,170
48,Chennai,Kolkata,Air India,11:40,13:55,4667,2h 15m,135
49,Kolkata,Banglore,Air India,19:00,11:05 16 May,6117,16h 5m,965
50,Delhi,Cochin,Jet Airways,23:05,19:00 28 Jun,11150,19h 55m,1195
51,Delhi,Cochin,Jet Airways,11:00,14:15,7202,3h 15m,195
52,Kolkata,Banglore,Jet Airways,09:35,10:55 02 May,12121,25h 20m,1520
53,Banglore,New Delhi,IndiGo,22:20,01:10 28 Mar,4377,2h 50m,170
54,Banglore,Delhi,IndiGo,21:15,00:15 19 Jun,3943,3h,180
55,Banglore,Delhi,Air Asia,23:55,02:45 04 Apr,4483,2h 50m,170
56,Kolkata,Banglore,Jet Airways,19:45,12:00 25 Mar,14231,16h 15m,975
57,Banglore,New Delhi,Air India,08:50,23:55,17345,15h 5m,905
58,Chennai,Kolkata,Vistara,07:05,09:20,7414,2h 15m,135
59,Delhi,Cochin,Multiple carriers,19:00,01:30 07 May,8073,6h 30m,390
60,Mumbai,Hyderabad,Vistara,15:40,16:45 07 Mar,12395,25h 5m,1505
61,Kolkata,Banglore,Air India,09:25,21:50,8366,12h 25m,745
62,Delhi,Cochin,Air India,06:05,09:25 04 Apr,5117,27h 20m,1640
63,Delhi,Cochin,Multiple carriers,08:45,19:00,12524,10h 15m,615
64,Delhi,Cochin,IndiGo,15:00,01:30 16 May,7191,10h 30m,630
65,Chennai,Kolkata,Vistara,07:05,09:20,3687,2h 15m,135
66,Delhi,Cochin,IndiGo,10:35,21:00,5894,10h 25m,625
67,Banglore,Delhi,Vistara,09:45,12:35,5403,2h 50m,170
