hotel_id,hotel_name,city,rating,cost,facilities
1,Crowne Plaza Kochi,kochi,4.3,3501,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
2,Trident Hotel Cochin,kochi,3.1,2582,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
3,The Galaxy Suites,kochi,3.6,2948,"Apartment, Sleeps 10, Free parking, Free Wi-Fi, No air conditioning, No airport shuttle, No beach access, No elevator, No fireplace"
4,The Renai cochin,kochi,3.4,2632,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
5,Ramada by Wyndham Kochi,kochi,4.5,11611,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
6,The Renai cochin,kochi,4.4,2921,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
7,"Radisson Blu Hotel, Kochi",kochi,4.8,6856,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
8,"Holiday Inn Cochin, an IHG Hotel",kochi,3.2,2179,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
9,OAK FIELD INN,kochi,3.8,2940,"Free breakfast, Wi-Fi, Free parking, Air conditioning, Restaurant, Kitchen, Full-service laundry, Kid-friendly"
10,Grand Hyatt Kochi Bolgatty,kochi,3.1,1324,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
11,Hotel South Gate Residency,kochi,3.4,2978,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Airport shuttle, Full-service laundry, Kid-friendly"
12,Cherai Beach Resorts,kochi,4.0,4242,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Beach access"
13,North Centre Hotel,kochi,3.1,1533,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Airport shuttle, Full-service laundry, Kid-friendly, Smoke-free"
14,Boche Island - Kumbalangi,kochi,3.4,2875,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Spa, Restaurant"
15,Trident Hotel Cochin,kochi,4.3,4337,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
16,"Nihara Resort & Spa, Kadamakudy Island, Kochi",kochi,4.1,3386,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Room service"
17,Ayurjani Ayurvedics,kochi,3.4,2334,"Sleeps 4, 2 bedrooms, Air conditioning, Fireplace, Paid parking, No crib, No elevator, No fitness center, No ironing board"
18,Niko Hotels,kochi,4.2,5511,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Accessible"
19,Crowne Plaza Kochi,kochi,4.6,5441,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
20,The Gateway Hotel Marine Drive Ernakulam,kochi,3.0,2041,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
21,Napier Heritage Fort Kochi,kochi,4.6,9203,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Beach access, Restaurant, Room service, Full-service laundry"
22,"Radisson Blu Hotel, Kochi",kochi,4.4,4352,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
23,Maurya Rajadhani,trivandrum,3.7,3257,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Hot tub, Air conditioning, Fitness center, Spa, Bar"
