Restaurant Name,Cuisine,Average Cost,Rating,City
Momo,Indian,200,4.2,Durgapur
Local Restaurant 1,Indian,100,4.1,Bareilly
BBQ,Fast Food,200,3.6,Mangalore
Dilliwaala,"North Indian, Street Food",100,3.7,Puducherry
FlyFree,Fast Food,200,4.0,Ajmer
Foodiz,"North Indian, Fast Food",100,3.5,Udaipur
Hashtag Momos,Fast Food,300,4.3,Jaipur
PB Patiala Bites,"North Indian, Fast Food",350,4.0,Udaipur
Pizza,Indian,200,4.0,Kolkata
Spirants Chai,Indian,150,4.2,Gaya
Food Zone,North Indian,200,3.7,Kolkata
Burgers Pizzas,Fast Food,150,4.5,Vadodara
Road Chef Online,"North Indian, Biryani",250,4.2,Patna
Bakery,Bakery,150,2.7,Kota
Bake Shop,"Fast Food, Bakery",100,4.0,Bhubaneswar
Bake Shop,"Fast Food, Bakery",100,4.1,Cuttack
Downing Street,North Indian,150,4.3,Vijayawada
Dur s,North Indian,200,4.1,Ludhiana
Hour s Family Restaurant,"North Indian, Fast Food, Biryani",200,3.8,Patna
Muffins,Indian,600,4.4,Chennai
Park Street Cafe Kitchen,North Indian,300,4.2,Gorakhpur
To Restaurants Party Hall,"South Indian, North Indian",100,3.0,Patna
Foodies,"Fast Food, Street Food",100,3.8,Kota
BC,North Indian,150,3.6,Kolkata
N,Fast Food,50,4.1,Hyderabad
July Fine Dine Restaurant,North Indian,150,3.8,Guwahati
Spices Multi Cusine Restaurant,Biryani,150,3.5,Hyderabad
Star Cakes,Bakery,100,3.7,Meerut
Flash Back,Indian,150,4.2,Salem
The Food Station,Fast Food,100,4.1,Salem
th Avenue Cafe Bistro,Indian,400,3.7,Guwahati
th Avenue Cafe Bistro,Fast Food,150,4.0,Guwahati
To,Fast Food,100,4.4,Salem
Pizza Point,Fast Food,150,4.0,Lucknow
AM Biryani,"North Indian, Fast Food, Street Food",200,3.1,Vijayawada
Shawarma,Fast Food,150,4.0,Mumbai
Cake House,Bakery,100,3.8,Jalandhar
Pizzeria,Indian,100,3.8,Surat
Pizzeria,Fast Food,150,3.8,Pune
Pizzeria,Fast Food,100,4.0,Mumbai
Greens,North Indian,200,3.9,Lucknow
A D,Fast Food,150,4.5,Jodhpur
Degree City Centre,"North Indian, Street Food",200,4.3,Dhanbad
Degrees,North Indian,100,4.1,Patna
Degrees Hotel,North Indian,150,4.1,Dhanbad
Sector,Indian,100,4.3,Jalandhar
Degree Icecream Zone,Indian,200,4.3,Trichy
City Cafe,"North Indian, Fast Food",100,4.1,Meerut
Mini Pancakes,Indian,100,4.1,Puducherry
The HOCCO Kitchen,"North Indian, Fast Food",150,4.2,Ajmer
The HOCCO Kitchen,"North Indian, Fast Food",100,4.3,Ahmedabad
Local Restaurant 2,"North Indian, Street Food, Biryani",200,4.4,Bangalore
Food Nation,South Indian,150,3.6,Nellore
Restaurant,"South Indian, North Indian",100,3.3,Moradabad
A Food Story,North Indian,150,4.1,Jodhpur
Veg Restaurant Hotel Manorama,"South Indian, North Indian, Biryani",250,3.8,Vijayawada
Milkshakes,Fast Food,100,4.2,Hyderabad
Pizza Thick Shake s,Fast Food,200,4.0,Hyderabad
C Dining,"South Indian, North Indian, Biryani",100,3.8,Coimbatore
Bros Pizza Resto,Indian,200,3.4,Bareilly
Bross Pizza Cafe,Fast Food,150,3.5,Aligarh
K,Fast Food,150,4.0,Salem
