destination,season,temperature,rainfall,humidity
Mumbai,Winter,26.6,0.0,72.2
Delhi,Winter,21.1,0.2,44.6
Bangalore,Winter,21.1,0.0,42.2
Chennai,Winter,28.6,0.0,65.4
Kolkata,Winter,25.1,0.0,64.3
Hyderabad,Winter,25.2,0.0,49.3
Pune,Winter,22.5,0.0,52.8
Ahmedabad,Winter,28.3,0.0,42.1
Pune,Winter,22.8,0.4,51.5
Delhi,Winter,23.7,0.0,39.5
Mumbai,Winter,25.4,0.0,70.0
Pune,Winter,25.7,0.0,50.5
Kolkata,Winter,24.6,0.0,59.5
Mumbai,Winter,29.0,0.0,72.9
Bangalore,Winter,22.9,0.0,48.0
Hyderabad,Winter,28.2,0.0,44.7
Chennai,Winter,26.8,0.0,69.4
Hyderabad,Winter,25.0,0.0,47.9
Pune,Winter,25.8,0.0,
Hyderabad,Winter,27.9,0.0,51.0
Mumbai,Winter,29.3,0.0,68.1
Delhi,Winter,25.5,0.0,53.3
Pune,Winter,26.8,0.1,46.9
Kolkata,Winter,28.3,0.0,56.9
Hyderabad,Winter,28.1,0.0,60.6
Delhi,Winter,28.5,0.1,54.5
Chennai,Winter,30.9,0.0,
Delhi,Winter,26.8,0.0,47.8
Delhi,Winter,28.4,0.0,41.5
Ahmedabad,Winter,31.8,0.0,45.1
Hyderabad,Winter,28.7,0.0,55.2
Hyderabad,Winter,29.9,0.0,52.3
Kolkata,Winter,30.4,0.0,66.6
Delhi,Winter,27.5,0.0,57.3
Bangalore,Winter,22.9,0.0,57.8
Chennai,Winter,32.7,0.0,65.3
Pune,Winter,26.9,0.0,49.0
Chennai,Winter,31.8,0.0,65.2
Mumbai,Winter,,0.0,69.5
Mumbai,Winter,29.5,0.0,73.1
Pune,Winter,27.7,0.0,55.6
Chennai,Winter,32.2,0.0,64.8
Hyderabad,Winter,29.9,0.0,46.6
Ahmedabad,Winter,34.1,0.0,51.9
Ahmedabad,Winter,34.2,0.0,44.0
Bangalore,Winter,26.2,0.0,58.0
Kolkata,Winter,31.9,0.0,57.4
Pune,Winter,31.0,0.0,51.3
Pune,Winter,27.2,0.0,52.9
Bangalore,Winter,27.5,0.0,59.2
Delhi,Winter,33.0,0.0,55.4
Delhi,Winter,33.8,0.0,46.1
Bangalore,Winter,23.1,0.0,62.7
Pune,Winter,,0.0,58.2
Pune,Winter,30.4,0.0,41.4
Ahmedabad,Winter,36.5,0.0,50.9
Mumbai,Winter,27.2,0.0,72.5
Delhi,Winter,34.0,0.0,60.3
Kolkata,Winter,32.4,0.0,54.8
Hyderabad,Pre-Monsoon,30.0,0.2,55.6
Pune,Pre-Monsoon,30.5,0.0,
Mumbai,Pre-Monsoon,30.9,0.0,78.5
Kolkata,Pre-Monsoon,33.9,0.0,77.5
Bangalore,Pre-Monsoon,26.8,0.0,58.8
Delhi,Pre-Monsoon,35.7,0.0,58.8
Kolkata,Pre-Monsoon,32.6,0.0,72.3
Chennai,Pre-Monsoon,31.8,0.0,75.8
Bangalore,Pre-Monsoon,27.0,0.0,60.4
Mumbai,Pre-Monsoon,29.3,0.0,84.6
Ahmedabad,Pre-Monsoon,35.3,0.9,
Hyderabad,Pre-Monsoon,32.3,0.0,56.4
Kolkata,Pre-Monsoon,35.4,0.0,70.1
Chennai,Pre-Monsoon,35.0,0.0,76.6
Delhi,Pre-Monsoon,36.9,0.6,56.6
Ahmedabad,Pre-Monsoon,35.3,0.0,52.6
Bangalore,Pre-Monsoon,25.2,0.0,70.0
Ahmedabad,Pre-Monsoon,36.4,0.0,49.1
Bangalore,Pre-Monsoon,28.0,0.0,55.2
Pune,Pre-Monsoon,30.8,0.0,55.2
Chennai,Pre-Monsoon,34.2,0.0,80.5
Pune,Pre-Monsoon,30.5,0.0,68.6
Hyderabad,Pre-Monsoon,28.9,0.0,58.6
Ahmedabad,Pre-Monsoon,36.8,0.4,53.4
Chennai,Pre-Monsoon,32.0,0.1,94.4
Mumbai,Pre-Monsoon,31.6,0.0,79.7
Chennai,Pre-Monsoon,31.8,0.0,71.9
Mumbai,Pre-Monsoon,33.1,0.1,90.6
Mumbai,Pre-Monsoon,32.8,0.0,81.6
Mumbai,Pre-Monsoon,30.8,0.0,77.4
Delhi,Pre-Monsoon,36.3,0.0,48.7
Kolkata,Pre-Monsoon,37.1,0.0,71.8
Chennai,Pre-Monsoon,35.0,0.0,80.0
Ahmedabad,Pre-Monsoon,40.7,0.0,59.3
Ahmedabad,Pre-Monsoon,39.3,0.0,44.0
Chennai,Pre-Monsoon,31.6,0.5,74.2
Pune,Pre-Monsoon,31.2,0.0,65.6
Pune,Pre-Monsoon,30.9,0.0,72.6
Mumbai,Pre-Monsoon,33.3,0.0,72.4
Delhi,Pre-Monsoon,39.5,1.2,61.7
Hyderabad,Pre-Monsoon,33.3,0.0,61.6
Delhi,Pre-Monsoon,38.2,0.0,63.3
Chennai,Pre-Monsoon,32.6,0.0,77.9
Bangalore,Pre-Monsoon,25.0,0.0,68.5
Kolkata,Pre-Monsoon,35.4,0.0,69.3
Delhi,Pre-Monsoon,37.5,0.0,51.7
Delhi,Pre-Monsoon,40.0,3.5,51.3
Mumbai,Pre-Monsoon,31.0,0.0,79.8
Chennai,Pre-Monsoon,32.2,0.0,83.8
Ahmedabad,Pre-Monsoon,40.3,0.0,65.8
Pune,Pre-Monsoon,31.1,0.0,51.5
Bangalore,Pre-Monsoon,27.0,0.0,72.1
Pune,Pre-Monsoon,31.7,0.0,63.4
Ahmedabad,Pre-Monsoon,40.0,0.0,58.9
Ahmedabad,Pre-Monsoon,38.5,0.0,53.6
Kolkata,Pre-Monsoon,36.9,0.0,85.0
Mumbai,Pre-Monsoon,29.8,0.0,84.1
Mumbai,Pre-Monsoon,33.7,0.0,73.9
Mumbai,Pre-Monsoon,33.5,11.7,72.8
Ahmedabad,Pre-Monsoon,,0.0,62.9
Bangalore,Pre-Monsoon,25.9,2.2,64.7
Delhi,Pre-Monsoon,39.1,0.0,60.7
Delhi,Pre-Monsoon,39.2,0.0,51.8
Chennai,Pre-Monsoon,34.0,0.0,74.9
Chennai,Pre-Monsoon,32.7,0.0,93.8
Mumbai,Pre-Monsoon,31.7,0.0,76.0
Pune,Pre-Monsoon,30.5,0.0,60.9
Hyderabad,Pre-Monsoon,34.7,0.0,65.5
Chennai,Pre-Monsoon,35.3,0.0,79.7
Hyderabad,Pre-Monsoon,31.5,0.0,57.1
Pune,Pre-Monsoon,32.2,1.1,79.8
Kolkata,Pre-Monsoon,36.8,0.0,71.3
Delhi,Pre-Monsoon,39.2,0.5,68.1
Delhi,Pre-Monsoon,39.8,1.0,66.3
Chennai,Pre-Monsoon,35.2,0.0,82.3
Bangalore,Pre-Monsoon,27.1,0.0,64.5
Delhi,Pre-Monsoon,37.9,0.0,58.5
Hyderabad,Pre-Monsoon,30.8,0.0,63.1
Ahmedabad,Pre-Monsoon,,0.0,53.4
Kolkata,Pre-Monsoon,34.3,0.0,74.7
Mumbai,Pre-Monsoon,26.8,0.0,95.5
Kolkata,Pre-Monsoon,36.0,0.0,71.0
Delhi,Pre-Monsoon,36.3,0.0,59.2
Bangalore,Pre-Monsoon,24.6,0.0,74.8
Delhi,Pre-Monsoon,36.8,0.0,67.7
Bangalore,Pre-Monsoon,27.2,0.0,68.8
Chennai,Pre-Monsoon,30.7,0.0,88.6
Chennai,Pre-Monsoon,33.1,0.0,74.8
Kolkata,Pre-Monsoon,37.2,0.0,63.7
Kolkata,Pre-Monsoon,33.3,0.0,74.4
Mumbai,Pre-Monsoon,29.0,0.7,84.1
Pune,Pre-Monsoon,30.1,0.0,56.2
Mumbai,Monsoon,30.4,24.1,97.5
Bangalore,Monsoon,26.5,0.0,75.2
Kolkata,Monsoon,34.5,19.8,88.2
Ahmedabad,Monsoon,35.6,1.8,75.5
Pune,Monsoon,32.8,6.0,75.2
Delhi,Monsoon,33.1,2.3,69.9
Bangalore,Monsoon,26.8,4.9,71.0
Hyderabad,Monsoon,31.1,2.1,78.5
Bangalore,Monsoon,27.3,31.4,89.5
Mumbai,Monsoon,33.4,2.2,98.0
Mumbai,Monsoon,27.9,0.0,90.0
Chennai,Monsoon,,0.0,97.0
Delhi,Monsoon,32.2,14.0,77.6
Pune,Monsoon,28.2,0.0,79.9
Bangalore,Monsoon,25.9,0.0,67.8
Chennai,Monsoon,31.4,0.0,98.0
Bangalore,Monsoon,23.0,0.0,77.2
Mumbai,Monsoon,28.4,28.3,98.0
Hyderabad,Monsoon,27.0,0.0,62.7
Pune,Monsoon,29.5,0.0,78.1
Chennai,Monsoon,31.7,0.2,88.1
Delhi,Monsoon,32.5,0.9,75.0
Mumbai,Monsoon,26.5,0.0,98.0
Chennai,Monsoon,30.8,15.2,98.0
